label_id,from_id,from_name,to_id,to_name,time_hours,cost_yuan_for_two,risk_score,mode_combo,dominant_mode,source
Q3V2_P028_TO_P038,P028,石头城遗址,P038,尼雅遗址,13.739,611.28,0.212,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P028_TO_P013,P028,石头城遗址,P013,吐峪沟麻扎村,20.326,930.9,0.294,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P028_TO_P031,P028,石头城遗址,P031,克孜尔石窟,11.752,539.93,0.187,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P028_TO_P006,P028,石头城遗址,P006,交河故城,19.538,905.79,0.284,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P028_TO_P011,P028,石头城遗址,P011,高昌故城,20.199,925.05,0.292,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P028_TO_P012,P028,石头城遗址,P012,苏公塔,19.532,905.19,0.284,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P028_TO_P036,P028,石头城遗址,P036,北庭故城遗址,19.814,975.67,0.288,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P028_TO_P024,P028,石头城遗址,P024,喀什古城,4.964,155.05,0.102,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P028_TO_P025,P028,石头城遗址,P025,艾提尕尔清真寺,4.918,154.73,0.101,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P028_TO_P026,P028,石头城遗址,P026,香妃园,5.106,156.66,0.104,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P028_TO_P030,P028,石头城遗址,P030,库车王府,11.343,545.58,0.182,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P028_TO_P034,P028,石头城遗址,P034,罗布人村寨,16.291,756.61,0.244,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P030_TO_P007,P030,库车王府,P007,楼兰古城,7.267,390.1,0.131,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P030_TO_P038,P030,库车王府,P038,尼雅遗址,9.494,327.78,0.159,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P030_TO_P013,P030,库车王府,P013,吐峪沟麻扎村,9.19,388.15,0.155,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P030_TO_P031,P030,库车王府,P031,克孜尔石窟,1.271,35.86,0.06,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P030_TO_P006,P030,库车王府,P006,交河故城,8.413,363.03,0.145,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P030_TO_P011,P030,库车王府,P011,高昌故城,9.101,382.3,0.154,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P030_TO_P012,P030,库车王府,P012,苏公塔,8.411,362.44,0.145,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P030_TO_P036,P030,库车王府,P036,北庭故城遗址,8.728,432.91,0.149,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P030_TO_P024,P030,库车王府,P024,喀什古城,7.193,389.17,0.13,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P030_TO_P025,P030,库车王府,P025,艾提尕尔清真寺,7.179,389.14,0.13,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P030_TO_P026,P030,库车王府,P026,香妃园,7.131,389.15,0.129,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P030_TO_P028,P030,库车王府,P028,石头城遗址,11.624,549.81,0.185,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P030_TO_P034,P030,库车王府,P034,罗布人村寨,5.159,213.86,0.104,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P034_TO_P007,P034,罗布人村寨,P007,楼兰古城,12.365,601.48,0.195,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P034_TO_P038,P034,罗布人村寨,P038,尼雅遗址,9.882,399.88,0.164,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P034_TO_P013,P034,罗布人村寨,P013,吐峪沟麻扎村,7.197,273.41,0.13,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P034_TO_P031,P034,罗布人村寨,P031,克孜尔石窟,6.391,244.49,0.12,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P034_TO_P006,P034,罗布人村寨,P006,交河故城,6.404,248.3,0.12,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P034_TO_P011,P034,罗布人村寨,P011,高昌故城,7.122,267.57,0.129,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P034_TO_P012,P034,罗布人村寨,P012,苏公塔,6.426,247.7,0.12,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P034_TO_P036,P034,罗布人村寨,P036,北庭故城遗址,6.685,318.12,0.124,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P034_TO_P024,P034,罗布人村寨,P024,喀什古城,12.312,600.56,0.194,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P034_TO_P025,P034,罗布人村寨,P025,艾提尕尔清真寺,12.286,600.53,0.194,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P034_TO_P026,P034,罗布人村寨,P026,香妃园,12.278,600.54,0.193,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P034_TO_P028,P034,罗布人村寨,P028,石头城遗址,16.648,761.19,0.248,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P034_TO_P030,P034,罗布人村寨,P030,库车王府,5.437,214.57,0.108,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
