edge_id,from_node,to_node,mode,layer,base_time_hours,base_cost_yuan_per_two,base_risk,source_id,distance_km,seasonal_sensitive,daily_departures,schedule_wait_hours,schedule_id,model_option_role,quality_flag,local_shuttle_raw_cost_yuan_per_two,local_shuttle_cost_floor_yuan_per_two,cost_floor_applied,amap_edge_type,od_quality_note
AM0300,SPOT::P026,SPOT::P004,self_drive,road,15.575,753.81,0.33,AMAP_DISTANCE_API,1370.563,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0301,SPOT::P027,SPOT::P004,self_drive,road,18.393,855.43,0.33,AMAP_DISTANCE_API,1555.329,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0302,SPOT::P028,SPOT::P004,self_drive,road,19.777,910.4,0.33,AMAP_DISTANCE_API,1655.276,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0303,SPOT::P029,SPOT::P004,self_drive,road,9.829,398.71,0.322,AMAP_DISTANCE_API,724.934,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0304,SPOT::P030,SPOT::P004,self_drive,road,8.674,367.65,0.303,AMAP_DISTANCE_API,668.45,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0305,SPOT::P031,SPOT::P004,self_drive,road,9.794,398.1,0.321,AMAP_DISTANCE_API,723.824,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0306,SPOT::P032,SPOT::P004,self_drive,road,5.555,191.29,0.156,AMAP_DISTANCE_API,347.803,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0307,SPOT::P033,SPOT::P004,self_drive,road,7.714,309.75,0.228,AMAP_DISTANCE_API,563.18,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0308,SPOT::P034,SPOT::P004,self_drive,road,6.679,252.91,0.193,AMAP_DISTANCE_API,459.841,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0309,SPOT::P035,SPOT::P004,self_drive,road,4.991,195.36,0.158,AMAP_DISTANCE_API,355.202,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0310,SPOT::P036,SPOT::P004,self_drive,road,4.157,204.52,0.164,AMAP_DISTANCE_API,371.852,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0311,SPOT::P037,SPOT::P004,self_drive,road,16.911,723.62,0.33,AMAP_DISTANCE_API,1315.671,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0312,SPOT::P038,SPOT::P004,self_drive,road,14.32,563.95,0.33,AMAP_DISTANCE_API,1025.371,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0313,SPOT::P039,SPOT::P004,self_drive,road,16.966,724.39,0.33,AMAP_DISTANCE_API,1317.068,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0314,SPOT::P040,SPOT::P004,self_drive,road,17.124,808.11,0.33,AMAP_DISTANCE_API,1469.292,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0315,SPOT::P001,SPOT::P005,self_drive,road,3.235,146.5,0.129,AMAP_DISTANCE_API,266.361,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0316,SPOT::P002,SPOT::P005,self_drive,road,1.307,54.64,0.073,AMAP_DISTANCE_API,99.349,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0317,SPOT::P003,SPOT::P005,self_drive,road,0.679,18.14,0.051,AMAP_DISTANCE_API,32.977,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0318,SPOT::P004,SPOT::P005,self_drive,road,0.416,7.54,0.045,AMAP_DISTANCE_API,13.716,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0319,SPOT::P006,SPOT::P005,self_drive,road,0.302,5.37,0.043,AMAP_DISTANCE_API,9.771,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0320,SPOT::P007,SPOT::P005,self_drive,road,15.396,747.9,0.33,AMAP_DISTANCE_API,1359.82,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0321,SPOT::P008,SPOT::P005,self_drive,road,7.874,407.96,0.287,AMAP_DISTANCE_API,741.74,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0322,SPOT::P009,SPOT::P005,self_drive,road,9.876,303.98,0.264,AMAP_DISTANCE_API,552.695,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0323,SPOT::P010,SPOT::P005,self_drive,road,13.596,451.65,0.33,AMAP_DISTANCE_API,821.176,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0324,SPOT::P011,SPOT::P005,self_drive,road,1.067,23.85,0.054,AMAP_DISTANCE_API,43.368,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0325,SPOT::P012,SPOT::P005,self_drive,road,0.258,3.25,0.042,AMAP_DISTANCE_API,5.903,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0326,SPOT::P013,SPOT::P005,self_drive,road,1.014,28.68,0.057,AMAP_DISTANCE_API,52.15,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0327,SPOT::P014,SPOT::P005,self_drive,road,8.691,441.2,0.33,AMAP_DISTANCE_API,802.18,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0328,SPOT::P015,SPOT::P005,self_drive,road,15.692,472.84,0.33,AMAP_DISTANCE_API,859.711,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0329,SPOT::P016,SPOT::P005,self_drive,road,14.96,510.78,0.33,AMAP_DISTANCE_API,928.685,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0330,SPOT::P017,SPOT::P005,self_drive,road,8.111,422.1,0.33,AMAP_DISTANCE_API,767.458,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0331,SPOT::P018,SPOT::P005,self_drive,road,10.851,485.67,0.33,AMAP_DISTANCE_API,883.042,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0332,SPOT::P019,SPOT::P005,self_drive,road,10.29,476.36,0.33,AMAP_DISTANCE_API,866.106,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0333,SPOT::P020,SPOT::P005,self_drive,road,10.193,469.67,0.33,AMAP_DISTANCE_API,853.953,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0334,SPOT::P021,SPOT::P005,self_drive,road,7.942,397.36,0.281,AMAP_DISTANCE_API,722.478,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0335,SPOT::P022,SPOT::P005,self_drive,road,8.135,403.97,0.325,AMAP_DISTANCE_API,734.496,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0336,SPOT::P023,SPOT::P005,self_drive,road,6.687,341.03,0.247,AMAP_DISTANCE_API,620.048,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0337,SPOT::P024,SPOT::P005,self_drive,road,15.346,747.21,0.33,AMAP_DISTANCE_API,1358.56,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0338,SPOT::P025,SPOT::P005,self_drive,road,15.328,746.87,0.33,AMAP_DISTANCE_API,1357.94,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0339,SPOT::P026,SPOT::P005,self_drive,road,15.22,746.56,0.33,AMAP_DISTANCE_API,1357.376,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0340,SPOT::P027,SPOT::P005,self_drive,road,18.043,848.18,0.33,AMAP_DISTANCE_API,1542.142,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0341,SPOT::P028,SPOT::P005,self_drive,road,19.422,903.15,0.33,AMAP_DISTANCE_API,1642.089,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0342,SPOT::P029,SPOT::P005,self_drive,road,9.473,391.46,0.317,AMAP_DISTANCE_API,711.747,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0343,SPOT::P030,SPOT::P005,self_drive,road,8.307,360.39,0.298,AMAP_DISTANCE_API,655.263,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0344,SPOT::P031,SPOT::P005,self_drive,road,9.444,390.85,0.317,AMAP_DISTANCE_API,710.637,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0345,SPOT::P032,SPOT::P005,self_drive,road,5.224,184.04,0.152,AMAP_DISTANCE_API,334.616,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0346,SPOT::P033,SPOT::P005,self_drive,road,8.377,271.22,0.244,AMAP_DISTANCE_API,493.134,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0347,SPOT::P034,SPOT::P005,self_drive,road,6.321,245.66,0.189,AMAP_DISTANCE_API,446.654,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0348,SPOT::P035,SPOT::P005,self_drive,road,5.101,196.83,0.159,AMAP_DISTANCE_API,357.865,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0349,SPOT::P036,SPOT::P005,self_drive,road,4.188,202.51,0.163,AMAP_DISTANCE_API,368.193,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0350,SPOT::P037,SPOT::P005,self_drive,road,16.573,716.37,0.33,AMAP_DISTANCE_API,1302.484,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0351,SPOT::P038,SPOT::P005,self_drive,road,14.001,556.7,0.33,AMAP_DISTANCE_API,1012.184,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0352,SPOT::P039,SPOT::P005,self_drive,road,16.628,717.13,0.33,AMAP_DISTANCE_API,1303.881,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0353,SPOT::P040,SPOT::P005,self_drive,road,16.769,800.86,0.33,AMAP_DISTANCE_API,1456.105,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0354,SPOT::P001,SPOT::P006,self_drive,road,3.342,149.59,0.131,AMAP_DISTANCE_API,271.98,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0355,SPOT::P002,SPOT::P006,self_drive,road,1.408,57.73,0.075,AMAP_DISTANCE_API,104.968,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0356,SPOT::P003,SPOT::P006,self_drive,road,0.801,22.99,0.054,AMAP_DISTANCE_API,41.797,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0357,SPOT::P004,SPOT::P006,self_drive,road,0.54,11.18,0.047,AMAP_DISTANCE_API,20.323,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0358,SPOT::P005,SPOT::P006,self_drive,road,0.223,4.16,0.043,AMAP_DISTANCE_API,7.563,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0359,SPOT::P007,SPOT::P006,self_drive,road,15.497,750.54,0.33,AMAP_DISTANCE_API,1364.616,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0360,SPOT::P008,SPOT::P006,self_drive,road,7.977,411.05,0.289,AMAP_DISTANCE_API,747.359,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0361,SPOT::P009,SPOT::P006,self_drive,road,9.963,306.62,0.266,AMAP_DISTANCE_API,557.491,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0362,SPOT::P010,SPOT::P006,self_drive,road,13.672,454.28,0.33,AMAP_DISTANCE_API,825.972,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0363,SPOT::P011,SPOT::P006,self_drive,road,1.228,26.05,0.056,AMAP_DISTANCE_API,47.372,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0364,SPOT::P012,SPOT::P006,self_drive,road,0.388,7.75,0.045,AMAP_DISTANCE_API,14.096,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0365,SPOT::P013,SPOT::P006,self_drive,road,1.129,33.53,0.06,AMAP_DISTANCE_API,60.97,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0366,SPOT::P014,SPOT::P006,self_drive,road,8.797,444.29,0.33,AMAP_DISTANCE_API,807.799,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0367,SPOT::P015,SPOT::P006,self_drive,road,15.768,475.48,0.33,AMAP_DISTANCE_API,864.507,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0368,SPOT::P016,SPOT::P006,self_drive,road,15.029,513.41,0.33,AMAP_DISTANCE_API,933.481,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0369,SPOT::P017,SPOT::P006,self_drive,road,8.216,425.19,0.33,AMAP_DISTANCE_API,773.077,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0370,SPOT::P018,SPOT::P006,self_drive,road,10.969,488.76,0.33,AMAP_DISTANCE_API,888.661,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0371,SPOT::P019,SPOT::P006,self_drive,road,10.408,479.45,0.33,AMAP_DISTANCE_API,871.725,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0372,SPOT::P020,SPOT::P006,self_drive,road,10.321,472.76,0.33,AMAP_DISTANCE_API,859.572,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0373,SPOT::P021,SPOT::P006,self_drive,road,8.048,400.45,0.323,AMAP_DISTANCE_API,728.097,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0374,SPOT::P022,SPOT::P006,self_drive,road,8.248,407.06,0.327,AMAP_DISTANCE_API,740.115,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0375,SPOT::P023,SPOT::P006,self_drive,road,6.789,344.12,0.249,AMAP_DISTANCE_API,625.667,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0376,SPOT::P024,SPOT::P006,self_drive,road,15.448,749.85,0.33,AMAP_DISTANCE_API,1363.356,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0377,SPOT::P025,SPOT::P006,self_drive,road,15.432,749.5,0.33,AMAP_DISTANCE_API,1362.736,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0378,SPOT::P026,SPOT::P006,self_drive,road,15.324,749.19,0.33,AMAP_DISTANCE_API,1362.172,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0379,SPOT::P027,SPOT::P006,self_drive,road,18.159,850.82,0.33,AMAP_DISTANCE_API,1546.938,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0380,SPOT::P028,SPOT::P006,self_drive,road,19.538,905.79,0.33,AMAP_DISTANCE_API,1646.885,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0381,SPOT::P029,SPOT::P006,self_drive,road,9.58,394.1,0.319,AMAP_DISTANCE_API,716.543,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0382,SPOT::P030,SPOT::P006,self_drive,road,8.413,363.03,0.3,AMAP_DISTANCE_API,660.059,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0383,SPOT::P031,SPOT::P006,self_drive,road,9.546,393.49,0.318,AMAP_DISTANCE_API,715.433,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0384,SPOT::P032,SPOT::P006,self_drive,road,5.304,186.68,0.153,AMAP_DISTANCE_API,339.412,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0385,SPOT::P033,SPOT::P006,self_drive,road,8.468,273.86,0.246,AMAP_DISTANCE_API,497.93,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0386,SPOT::P034,SPOT::P006,self_drive,road,6.404,248.3,0.19,AMAP_DISTANCE_API,451.45,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0387,SPOT::P035,SPOT::P006,self_drive,road,5.23,201.68,0.162,AMAP_DISTANCE_API,366.685,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0388,SPOT::P036,SPOT::P006,self_drive,road,4.294,205.6,0.165,AMAP_DISTANCE_API,373.812,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0389,SPOT::P037,SPOT::P006,self_drive,road,16.652,719.0,0.33,AMAP_DISTANCE_API,1307.28,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0390,SPOT::P038,SPOT::P006,self_drive,road,14.068,559.34,0.33,AMAP_DISTANCE_API,1016.98,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0391,SPOT::P039,SPOT::P006,self_drive,road,16.707,719.77,0.33,AMAP_DISTANCE_API,1308.677,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0392,SPOT::P040,SPOT::P006,self_drive,road,16.884,803.5,0.33,AMAP_DISTANCE_API,1460.901,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0393,SPOT::P001,SPOT::P007,self_drive,road,14.842,764.05,0.33,AMAP_DISTANCE_API,1389.189,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0394,SPOT::P002,SPOT::P007,self_drive,road,14.58,760.59,0.33,AMAP_DISTANCE_API,1382.897,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0395,SPOT::P003,SPOT::P007,self_drive,road,15.74,758.98,0.33,AMAP_DISTANCE_API,1379.964,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0396,SPOT::P004,SPOT::P007,self_drive,road,15.544,748.53,0.33,AMAP_DISTANCE_API,1360.955,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0397,SPOT::P005,SPOT::P007,self_drive,road,15.18,741.62,0.33,AMAP_DISTANCE_API,1348.405,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0398,SPOT::P006,SPOT::P007,self_drive,road,15.342,745.48,0.33,AMAP_DISTANCE_API,1355.422,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0399,SPOT::P008,SPOT::P007,self_drive,road,17.465,784.79,0.33,AMAP_DISTANCE_API,1426.883,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0400,SPOT::P009,SPOT::P007,self_drive,road,13.358,576.0,0.33,AMAP_DISTANCE_API,1047.267,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0401,SPOT::P010,SPOT::P007,self_drive,road,17.074,723.66,0.33,AMAP_DISTANCE_API,1315.748,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0402,SPOT::P011,SPOT::P007,self_drive,road,16.299,762.05,0.33,AMAP_DISTANCE_API,1385.539,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0403,SPOT::P012,SPOT::P007,self_drive,road,15.279,743.74,0.33,AMAP_DISTANCE_API,1352.263,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0404,SPOT::P013,SPOT::P007,self_drive,road,16.159,769.53,0.33,AMAP_DISTANCE_API,1399.137,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0405,SPOT::P014,SPOT::P007,self_drive,road,16.462,749.23,0.33,AMAP_DISTANCE_API,1362.232,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0406,SPOT::P015,SPOT::P007,self_drive,road,19.139,744.86,0.33,AMAP_DISTANCE_API,1354.283,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0407,SPOT::P016,SPOT::P007,self_drive,road,18.426,782.79,0.33,AMAP_DISTANCE_API,1423.257,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0408,SPOT::P017,SPOT::P007,self_drive,road,17.859,804.79,0.33,AMAP_DISTANCE_API,1463.251,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0409,SPOT::P018,SPOT::P007,self_drive,road,22.38,1100.11,0.33,AMAP_DISTANCE_API,2000.204,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0410,SPOT::P019,SPOT::P007,self_drive,road,21.699,1090.8,0.33,AMAP_DISTANCE_API,1983.268,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0411,SPOT::P020,SPOT::P007,self_drive,road,21.561,1084.11,0.33,AMAP_DISTANCE_API,1971.115,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0412,SPOT::P021,SPOT::P007,self_drive,road,19.692,1014.92,0.33,AMAP_DISTANCE_API,1845.306,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0413,SPOT::P022,SPOT::P007,self_drive,road,19.462,1018.41,0.33,AMAP_DISTANCE_API,1851.658,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0414,SPOT::P023,SPOT::P007,self_drive,road,19.569,813.82,0.33,AMAP_DISTANCE_API,1479.675,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0415,SPOT::P024,SPOT::P007,self_drive,road,0.143,1.11,0.041,AMAP_DISTANCE_API,2.027,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0416,SPOT::P025,SPOT::P007,self_drive,road,0.133,1.16,0.041,AMAP_DISTANCE_API,2.11,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0417,SPOT::P026,SPOT::P007,self_drive,road,0.274,2.48,0.042,AMAP_DISTANCE_API,4.505,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0418,SPOT::P027,SPOT::P007,self_drive,road,3.455,99.92,0.101,AMAP_DISTANCE_API,181.679,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0419,SPOT::P028,SPOT::P007,self_drive,road,4.93,154.89,0.134,AMAP_DISTANCE_API,281.626,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0420,SPOT::P029,SPOT::P007,self_drive,road,8.201,422.43,0.33,AMAP_DISTANCE_API,768.05,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0421,SPOT::P030,SPOT::P007,self_drive,road,7.267,390.1,0.276,AMAP_DISTANCE_API,709.269,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0422,SPOT::P031,SPOT::P007,self_drive,road,7.649,384.23,0.273,AMAP_DISTANCE_API,698.593,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0423,SPOT::P032,SPOT::P007,self_drive,road,12.068,602.12,0.33,AMAP_DISTANCE_API,1094.765,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0424,SPOT::P033,SPOT::P007,self_drive,road,11.245,526.38,0.33,AMAP_DISTANCE_API,957.061,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0425,SPOT::P034,SPOT::P007,self_drive,road,12.365,601.48,0.33,AMAP_DISTANCE_API,1093.608,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0426,SPOT::P035,SPOT::P007,self_drive,road,16.749,853.41,0.33,AMAP_DISTANCE_API,1551.647,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0427,SPOT::P036,SPOT::P007,self_drive,road,15.968,820.06,0.33,AMAP_DISTANCE_API,1491.021,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0428,SPOT::P037,SPOT::P007,self_drive,road,5.617,272.52,0.205,AMAP_DISTANCE_API,495.488,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0429,SPOT::P038,SPOT::P007,self_drive,road,9.991,473.78,0.33,AMAP_DISTANCE_API,861.417,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0430,SPOT::P039,SPOT::P007,self_drive,road,5.565,270.41,0.204,AMAP_DISTANCE_API,491.654,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0431,SPOT::P040,SPOT::P007,self_drive,road,2.108,52.6,0.072,AMAP_DISTANCE_API,95.642,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0432,SPOT::P001,SPOT::P008,self_drive,road,6.21,323.25,0.236,AMAP_DISTANCE_API,587.736,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0433,SPOT::P002,SPOT::P008,self_drive,road,6.635,351.02,0.253,AMAP_DISTANCE_API,638.227,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0434,SPOT::P003,SPOT::P008,self_drive,road,8.365,417.72,0.33,AMAP_DISTANCE_API,759.482,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0435,SPOT::P004,SPOT::P008,self_drive,road,7.994,405.8,0.286,AMAP_DISTANCE_API,737.824,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0436,SPOT::P005,SPOT::P008,self_drive,road,8.023,403.84,0.325,AMAP_DISTANCE_API,734.25,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0437,SPOT::P006,SPOT::P008,self_drive,road,8.267,408.14,0.327,AMAP_DISTANCE_API,742.077,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0438,SPOT::P007,SPOT::P008,self_drive,road,17.846,784.73,0.33,AMAP_DISTANCE_API,1426.773,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0439,SPOT::P009,SPOT::P008,self_drive,road,5.346,224.35,0.176,AMAP_DISTANCE_API,407.912,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0440,SPOT::P010,SPOT::P008,self_drive,road,4.563,172.32,0.144,AMAP_DISTANCE_API,313.314,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0441,SPOT::P011,SPOT::P008,self_drive,road,8.773,423.43,0.33,AMAP_DISTANCE_API,769.873,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0442,SPOT::P012,SPOT::P008,self_drive,road,8.087,406.85,0.327,AMAP_DISTANCE_API,739.725,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0443,SPOT::P013,SPOT::P008,self_drive,road,8.714,428.26,0.33,AMAP_DISTANCE_API,778.655,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0444,SPOT::P014,SPOT::P008,self_drive,road,1.179,41.71,0.065,AMAP_DISTANCE_API,75.844,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0445,SPOT::P015,SPOT::P008,self_drive,road,6.572,193.52,0.157,AMAP_DISTANCE_API,351.849,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0446,SPOT::P016,SPOT::P008,self_drive,road,5.808,231.45,0.18,AMAP_DISTANCE_API,420.823,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0447,SPOT::P017,SPOT::P008,self_drive,road,0.597,22.62,0.054,AMAP_DISTANCE_API,41.122,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0448,SPOT::P018,SPOT::P008,self_drive,road,11.553,510.7,0.33,AMAP_DISTANCE_API,928.545,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0449,SPOT::P019,SPOT::P008,self_drive,road,10.976,501.38,0.33,AMAP_DISTANCE_API,911.609,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0450,SPOT::P020,SPOT::P008,self_drive,road,10.868,494.7,0.33,AMAP_DISTANCE_API,899.456,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0451,SPOT::P021,SPOT::P008,self_drive,road,11.338,551.88,0.33,AMAP_DISTANCE_API,1003.427,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0452,SPOT::P022,SPOT::P008,self_drive,road,8.673,429.0,0.33,AMAP_DISTANCE_API,779.999,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0453,SPOT::P023,SPOT::P008,self_drive,road,5.968,299.83,0.222,AMAP_DISTANCE_API,545.154,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0454,SPOT::P024,SPOT::P008,self_drive,road,17.813,784.03,0.33,AMAP_DISTANCE_API,1425.513,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0455,SPOT::P025,SPOT::P008,self_drive,road,17.781,783.69,0.33,AMAP_DISTANCE_API,1424.893,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0456,SPOT::P026,SPOT::P008,self_drive,road,17.696,783.38,0.33,AMAP_DISTANCE_API,1424.329,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0457,SPOT::P027,SPOT::P008,self_drive,road,20.542,885.0,0.33,AMAP_DISTANCE_API,1609.095,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0458,SPOT::P028,SPOT::P008,self_drive,road,21.941,939.97,0.33,AMAP_DISTANCE_API,1709.042,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0459,SPOT::P029,SPOT::P008,self_drive,road,9.741,369.51,0.304,AMAP_DISTANCE_API,671.828,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0460,SPOT::P030,SPOT::P008,self_drive,road,10.868,403.78,0.325,AMAP_DISTANCE_API,734.15,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0461,SPOT::P031,SPOT::P008,self_drive,road,11.103,413.68,0.33,AMAP_DISTANCE_API,752.149,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0462,SPOT::P032,SPOT::P008,self_drive,road,10.199,475.19,0.33,AMAP_DISTANCE_API,863.99,False,,,,,,,,,spot_to_spot,amap_distance_api
