sample_id,scenario_id,scenario_description,road_time_factor,rail_time_factor,air_time_factor,coach_time_factor,local_time_factor,road_cost_factor,rail_cost_factor,air_cost_factor,coach_cost_factor,service_time_factor,reservation_pressure,hotel_full_probability,road_closure_probability,public_transport_disruption_probability,heatwave_flag,heat_penalty_hours,general_cost_multiplier,risk_add_road,risk_add_public
122,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.1228,1.1428,1.1175,1.0342,1.0399,0.9955,1.1241,1.3082,1.0099,1.0209,0.1145,0.0648,0.015,0.03,False,0.04,1.3146,0.03,0.04
123,base_summer,暑假普通日，使用基础时间。,0.945,1.0314,1.0039,1.0611,1.0631,1.0055,0.9573,1.0242,0.9818,1.0278,0.01,0.071,0.015,0.015,False,0.09,1.0248,0.0,0.0
124,base_summer,暑假普通日，使用基础时间。,0.9997,1.0346,1.0157,1.0837,0.9892,1.0229,0.9543,0.967,0.9803,1.0615,0.01,0.0293,0.015,0.015,False,0.0,1.0662,0.0,0.0
125,base_summer,暑假普通日，使用基础时间。,1.0225,0.9472,0.9533,0.9504,1.0403,1.0303,1.0375,0.9814,0.9866,0.9791,0.0143,0.0703,0.015,0.015,True,1.025,1.0488,0.0,0.0
126,base_summer,暑假普通日，使用基础时间。,1.0176,0.9596,0.9675,0.9821,1.1163,1.0231,1.0461,1.0626,0.9926,1.0432,0.075,0.0715,0.015,0.015,False,0.322,1.0325,0.0,0.0
127,base_summer,暑假普通日，使用基础时间。,0.9477,0.9675,1.0444,1.0153,1.0051,0.9599,1.0221,1.0203,1.003,0.9837,0.0829,0.06,0.015,0.015,True,1.927,1.0221,0.0,0.0
128,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.1532,1.1022,1.0918,1.0378,1.0217,1.0735,1.1174,1.2659,0.9697,0.9841,0.1861,0.1237,0.015,0.03,True,1.859,1.3489,0.03,0.04
129,base_summer,暑假普通日，使用基础时间。,0.9234,0.9675,0.9562,1.0091,0.9993,1.0006,1.0058,1.0098,0.9884,0.9473,0.0332,0.0571,0.015,0.015,False,0.01,1.0064,0.0,0.0
130,base_summer,暑假普通日，使用基础时间。,0.9518,1.0303,0.9867,1.0408,0.9636,0.9739,0.9673,1.0001,1.0112,0.9213,0.0415,0.0398,0.015,0.015,True,0.659,1.0355,0.0,0.0
131,hotel_full_price_surge,住宿紧张导致费用上浮。,1.0885,1.0368,0.9905,0.9356,0.9865,1.3081,0.9934,1.0044,0.9739,0.9616,0.1142,0.2945,0.015,0.015,False,0.243,1.3599,0.08,0.0
132,base_summer,暑假普通日，使用基础时间。,0.9847,0.9398,0.9963,1.0661,0.8898,1.0406,0.9996,1.0317,0.9757,1.0164,0.0535,0.0478,0.015,0.015,False,0.025,1.0098,0.0,0.0
133,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.0834,1.083,1.049,0.9834,1.0511,1.1073,1.114,1.217,1.0388,1.1059,0.1381,0.1284,0.015,0.03,False,0.161,1.2622,0.03,0.04
134,base_summer,暑假普通日，使用基础时间。,1.0199,1.0047,1.0311,1.0018,1.0267,0.9616,0.9592,1.0214,1.0183,0.9835,0.0825,0.01,0.015,0.015,False,0.203,1.01,0.0,0.0
135,base_summer,暑假普通日，使用基础时间。,0.9718,1.0524,0.9443,0.9569,0.9831,1.0842,0.9807,1.056,1.0234,0.9742,0.0203,0.1138,0.015,0.015,False,0.073,1.0278,0.0,0.0
136,hotel_full_price_surge,住宿紧张导致费用上浮。,1.0768,0.9205,0.9694,0.9661,1.0222,1.308,1.0308,0.987,1.0048,0.9773,0.1352,0.2662,0.015,0.015,False,0.33,1.2453,0.08,0.0
137,base_summer,暑假普通日，使用基础时间。,0.9986,0.999,0.9964,0.9671,0.9977,1.0086,1.0682,0.9749,0.9985,0.9778,0.0502,0.0516,0.015,0.015,False,0.261,1.0475,0.0,0.0
138,base_summer,暑假普通日，使用基础时间。,1.0274,1.0003,1.0234,0.9978,0.9568,1.0202,0.9699,1.0989,0.9767,1.077,0.1006,0.0461,0.015,0.015,False,0.185,0.9917,0.0,0.0
139,base_summer,暑假普通日，使用基础时间。,0.9413,0.9669,1.0384,0.9945,0.9992,0.9699,0.998,0.9546,0.9585,0.9832,0.0615,0.0781,0.015,0.015,False,0.293,1.0186,0.0,0.0
140,base_summer,暑假普通日，使用基础时间。,1.0528,0.9628,0.909,1.0038,0.9985,1.048,0.9572,0.9749,0.9508,0.9498,0.0288,0.0734,0.015,0.015,False,0.165,0.9949,0.0,0.0
141,base_summer,暑假普通日，使用基础时间。,1.0476,0.9687,0.9214,0.997,0.9659,0.9999,0.9594,1.0563,0.9651,0.9996,0.0312,0.0385,0.015,0.015,False,0.095,1.0482,0.0,0.0
142,duku_weather_disruption,独库/山区道路天气扰动，含临时封闭风险。,1.8234,1.0086,0.9843,0.9594,0.971,1.0096,0.9614,0.9629,1.007,0.9547,0.0869,0.0899,0.08,0.025,False,0.12,1.0326,0.25,0.0
143,hotel_full_price_surge,住宿紧张导致费用上浮。,1.055,1.0818,0.9901,1.0116,1.0011,1.3059,1.0335,0.9776,1.0078,0.9474,0.0771,0.2765,0.015,0.015,False,0.328,1.3347,0.08,0.0
144,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.0923,0.9848,1.0794,1.0067,0.9808,1.0892,1.1106,1.3272,1.0212,1.1181,0.1348,0.1157,0.015,0.03,True,0.758,1.2291,0.03,0.04
145,base_summer,暑假普通日，使用基础时间。,0.9333,0.9473,0.9364,1.0195,0.9753,1.0042,0.9723,0.9638,1.0225,0.9666,0.0569,0.0472,0.015,0.015,False,0.031,0.9855,0.0,0.0
146,base_summer,暑假普通日，使用基础时间。,1.0133,1.0748,0.9703,1.009,1.0442,0.9834,0.9833,0.957,1.0058,0.9583,0.045,0.01,0.015,0.015,False,0.273,1.0261,0.0,0.0
147,base_summer,暑假普通日，使用基础时间。,0.9987,0.9992,1.0099,1.0568,0.9414,0.988,0.9934,1.0096,1.0509,0.9112,0.0458,0.045,0.015,0.015,False,0.108,1.0456,0.0,0.0
148,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.168,0.9886,1.0691,0.9868,0.9539,1.0343,1.0922,1.1763,1.0173,0.9942,0.1228,0.1199,0.015,0.03,True,1.588,1.2486,0.03,0.04
149,duku_weather_disruption,独库/山区道路天气扰动，含临时封闭风险。,1.7704,1.0067,1.0107,1.0399,0.9788,1.0343,1.0475,1.0163,1.0555,0.9572,0.0565,0.0705,0.08,0.025,True,0.819,1.0507,0.25,0.0
150,base_summer,暑假普通日，使用基础时间。,1.014,1.0223,1.0177,0.987,1.0149,0.976,0.9633,1.0103,1.0516,0.9707,0.0633,0.1038,0.015,0.015,False,0.169,0.9818,0.0,0.0
151,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.0801,1.0418,1.1434,0.9942,0.9678,1.0416,1.136,1.2995,1.0503,1.0391,0.148,0.0971,0.015,0.03,False,0.052,1.2316,0.03,0.04
152,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.1083,1.0176,1.0795,1.0212,0.9507,1.0813,1.0768,1.2679,1.0117,0.9595,0.167,0.1082,0.015,0.03,False,0.003,1.2633,0.03,0.04
153,base_summer,暑假普通日，使用基础时间。,0.9411,1.016,0.9816,1.0797,0.9558,1.0137,0.9686,1.0016,1.0136,1.0629,0.0634,0.0456,0.015,0.015,False,0.04,1.0037,0.0,0.0
154,base_summer,暑假普通日，使用基础时间。,0.9663,0.9768,1.0233,1.0362,1.035,1.0406,0.9958,0.9553,0.9826,1.0544,0.0281,0.0331,0.015,0.015,False,0.107,1.0135,0.0,0.0
155,hotel_full_price_surge,住宿紧张导致费用上浮。,1.101,0.9832,1.0098,0.9382,0.9502,1.2671,0.995,1.0228,1.037,0.9798,0.0889,0.2734,0.015,0.015,False,0.245,1.2923,0.08,0.0
156,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.1861,1.0514,0.9874,0.9536,1.0967,1.045,1.1235,1.2226,1.0668,0.9882,0.1571,0.1216,0.015,0.03,False,0.141,1.3008,0.03,0.04
157,hotel_full_price_surge,住宿紧张导致费用上浮。,1.1118,0.9861,1.0855,1.0289,0.9991,1.2872,0.9736,1.1018,0.9801,1.0409,0.0854,0.2971,0.015,0.015,False,0.313,1.2962,0.08,0.0
158,base_summer,暑假普通日，使用基础时间。,1.0743,0.9503,1.0056,1.0443,0.9777,0.9757,1.027,1.0017,1.0075,0.9504,0.0687,0.1042,0.015,0.015,False,0.013,1.0044,0.0,0.0
159,base_summer,暑假普通日，使用基础时间。,0.9907,1.0739,0.9638,1.0475,1.0151,1.0067,0.9989,1.0684,1.0166,0.9375,0.0805,0.047,0.015,0.015,True,1.19,1.0459,0.0,0.0
160,base_summer,暑假普通日，使用基础时间。,1.0515,0.9544,0.9428,0.9926,1.0373,0.9733,1.0108,1.035,0.9624,1.06,0.0314,0.0655,0.015,0.015,False,0.08,1.0364,0.0,0.0
161,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.061,1.0577,1.0591,0.9939,0.9121,1.1008,1.0649,1.2783,1.0245,1.0126,0.1149,0.1208,0.015,0.03,True,2.144,1.1668,0.03,0.04
162,base_summer,暑假普通日，使用基础时间。,1.0143,1.0635,0.9604,1.0105,1.0236,0.9221,1.0025,0.9933,1.002,1.0063,0.0662,0.0848,0.015,0.015,False,0.035,1.046,0.0,0.0
163,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.1857,0.9631,1.0564,0.9599,1.0528,1.0428,1.0573,1.2431,0.9711,0.9661,0.148,0.0986,0.015,0.03,False,0.343,1.247,0.03,0.04
164,base_summer,暑假普通日，使用基础时间。,1.07,0.973,0.9328,0.9994,0.9189,1.0051,0.9909,0.9668,1.0004,0.9823,0.0317,0.01,0.015,0.015,False,0.237,1.0332,0.0,0.0
165,base_summer,暑假普通日，使用基础时间。,0.9706,1.0187,1.0332,1.0154,0.9306,0.974,0.956,0.9829,0.9666,1.0114,0.02,0.0608,0.015,0.015,False,0.28,1.0595,0.0,0.0
166,base_summer,暑假普通日，使用基础时间。,1.0224,0.9839,0.9535,1.0134,1.0677,0.9929,1.0124,0.968,1.0106,1.012,0.089,0.0544,0.015,0.015,False,0.015,1.0371,0.0,0.0
167,duku_weather_disruption,独库/山区道路天气扰动，含临时封闭风险。,1.7342,0.9522,0.9971,1.0656,1.0493,0.9751,0.9669,1.0505,1.0122,0.8819,0.0421,0.0961,0.08,0.025,True,1.461,1.0205,0.25,0.0
168,base_summer,暑假普通日，使用基础时间。,0.9765,0.9676,0.9986,0.9852,1.0099,1.0079,1.0409,0.991,1.0024,0.9418,0.0222,0.0497,0.015,0.015,False,0.136,1.0158,0.0,0.0
169,hotel_full_price_surge,住宿紧张导致费用上浮。,1.1112,1.0028,0.9676,0.9329,0.9817,1.3161,1.0278,0.9606,1.0266,0.9868,0.1146,0.2291,0.015,0.015,False,0.15,1.3195,0.08,0.0
170,base_summer,暑假普通日，使用基础时间。,0.8886,1.0434,0.9618,1.0264,1.0335,0.9956,1.0179,1.0333,0.9825,0.9432,0.0669,0.0134,0.015,0.015,False,0.087,1.0585,0.0,0.0
171,base_summer,暑假普通日，使用基础时间。,0.9602,0.9572,1.035,0.9518,1.0227,0.9958,0.9577,0.9849,0.9775,0.9641,0.0259,0.0518,0.015,0.015,False,0.35,1.0047,0.0,0.0
172,base_summer,暑假普通日，使用基础时间。,0.9466,0.9412,0.9593,0.9254,1.0721,1.0156,0.9949,0.9935,1.0826,1.0631,0.0513,0.052,0.015,0.015,False,0.131,1.0232,0.0,0.0
173,base_summer,暑假普通日，使用基础时间。,1.0279,0.9771,1.0066,1.0292,1.0432,0.9483,1.0603,1.0134,1.0068,1.0706,0.0527,0.0512,0.015,0.015,False,0.33,1.0644,0.0,0.0
174,base_summer,暑假普通日，使用基础时间。,1.0344,0.9989,1.0106,1.0291,1.0273,0.9806,0.9938,1.0404,0.9985,1.0893,0.0472,0.053,0.015,0.015,False,0.028,1.0028,0.0,0.0
175,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.1465,1.0521,1.0619,1.011,0.9868,1.0813,1.1123,1.2673,0.9794,0.9734,0.1238,0.1355,0.015,0.03,True,0.515,1.2584,0.03,0.04
176,duku_weather_disruption,独库/山区道路天气扰动，含临时封闭风险。,1.7816,1.0432,0.9938,0.9913,1.0065,1.0285,0.9992,1.0149,1.0205,0.916,0.0678,0.0492,0.08,0.025,True,0.83,1.0124,0.25,0.0
177,base_summer,暑假普通日，使用基础时间。,0.9588,0.9866,1.0007,1.0226,1.0517,0.9687,1.0197,0.9822,0.9846,0.9138,0.0432,0.0463,0.015,0.015,False,0.293,1.008,0.0,0.0
178,base_summer,暑假普通日，使用基础时间。,1.0003,0.9291,1.0109,1.0238,1.0351,1.0494,0.9744,1.0801,0.9665,0.9021,0.0676,0.0568,0.015,0.015,False,0.291,1.0242,0.0,0.0
179,hotel_full_price_surge,住宿紧张导致费用上浮。,1.1037,0.9237,0.9831,0.9807,1.0902,1.3272,0.9695,1.0242,0.9876,0.9904,0.135,0.3013,0.015,0.015,False,0.08,1.2834,0.08,0.0
180,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.2225,1.0358,1.0756,0.9805,0.9793,1.0976,1.0743,1.2575,0.9483,0.9699,0.1715,0.1364,0.015,0.03,True,0.984,1.2693,0.03,0.04
181,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.1516,1.0541,1.0109,0.977,1.1217,1.1001,1.121,1.2115,1.0112,0.9357,0.1167,0.0964,0.015,0.03,False,0.118,1.2823,0.03,0.04
182,hotel_full_price_surge,住宿紧张导致费用上浮。,0.9895,0.9635,1.0203,0.9857,1.0798,1.2092,1.0141,0.987,0.9675,1.0992,0.1079,0.2231,0.015,0.015,False,0.007,1.3171,0.08,0.0
183,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.1537,1.0548,0.9853,0.9787,0.9892,1.034,1.1181,1.2183,0.9864,1.0462,0.1318,0.1189,0.015,0.03,False,0.334,1.2279,0.03,0.04
184,base_summer,暑假普通日，使用基础时间。,1.0761,1.0267,1.0049,0.9854,0.9397,0.9918,0.999,0.9909,0.972,1.0346,0.0303,0.01,0.015,0.015,False,0.193,1.0329,0.0,0.0
185,base_summer,暑假普通日，使用基础时间。,1.0233,0.961,0.9699,0.9781,0.9931,1.0088,0.9999,1.0303,0.9952,0.9078,0.0508,0.026,0.015,0.015,False,0.005,1.029,0.0,0.0
186,hotel_full_price_surge,住宿紧张导致费用上浮。,1.0694,0.9788,0.9676,0.9848,1.0033,1.2916,1.0088,0.9582,0.9995,1.0497,0.1077,0.3417,0.015,0.015,False,0.147,1.3415,0.08,0.0
187,base_summer,暑假普通日，使用基础时间。,0.9716,0.9577,1.0481,0.9364,1.0587,1.0499,1.013,1.0182,1.0232,0.9643,0.0934,0.0808,0.015,0.015,False,0.187,0.9956,0.0,0.0
188,hotel_full_price_surge,住宿紧张导致费用上浮。,1.117,0.9891,0.9609,1.0252,0.9721,1.3359,1.0326,0.9542,0.9457,0.9831,0.137,0.234,0.015,0.015,False,0.164,1.3111,0.08,0.0
189,base_summer,暑假普通日，使用基础时间。,1.0311,0.9732,0.9296,0.9605,0.9205,0.9828,0.9733,0.9492,1.054,0.9256,0.0351,0.0629,0.015,0.015,False,0.168,0.9843,0.0,0.0
190,base_summer,暑假普通日，使用基础时间。,0.92,1.0075,1.0062,0.9016,0.9985,0.9949,0.992,1.0031,0.9705,1.0151,0.0681,0.0404,0.015,0.015,False,0.189,1.0492,0.0,0.0
191,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.1706,0.996,1.0949,0.94,1.0308,1.0731,1.1271,1.2923,1.0032,0.95,0.1427,0.1568,0.015,0.03,False,0.337,1.2326,0.03,0.04
192,base_summer,暑假普通日，使用基础时间。,1.0927,0.9984,1.0478,0.9339,0.9925,0.9104,0.9852,1.056,0.9855,0.9642,0.056,0.0205,0.015,0.015,False,0.099,1.0415,0.0,0.0
193,hotel_full_price_surge,住宿紧张导致费用上浮。,1.1915,1.0459,1.0636,0.9965,1.0064,1.2817,0.9417,0.9945,1.064,0.939,0.1288,0.2908,0.015,0.015,False,0.264,1.2373,0.08,0.0
194,base_summer,暑假普通日，使用基础时间。,0.9847,0.9793,0.9614,0.9993,1.021,1.0139,0.9936,0.944,1.0339,0.9305,0.0387,0.0747,0.015,0.015,False,0.247,0.9985,0.0,0.0
195,base_summer,暑假普通日，使用基础时间。,0.9929,1.0608,1.0616,0.9256,0.942,0.9446,1.0383,1.0,1.0404,1.0092,0.01,0.0807,0.015,0.015,False,0.128,1.0665,0.0,0.0
196,base_summer,暑假普通日，使用基础时间。,0.9879,0.9949,1.0015,1.0,1.0171,1.0398,1.0023,0.9589,0.9921,1.0579,0.0435,0.0262,0.015,0.015,False,0.298,1.0275,0.0,0.0
197,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.1541,1.0307,1.0459,1.0082,1.0264,1.0527,1.0674,1.1708,1.0067,1.0098,0.1424,0.1286,0.015,0.03,False,0.212,1.2385,0.03,0.04
198,base_summer,暑假普通日，使用基础时间。,0.9762,1.0472,1.021,0.9534,0.9947,0.9958,1.0117,0.9959,1.0055,0.987,0.0406,0.0664,0.015,0.015,False,0.155,1.0396,0.0,0.0
199,duku_weather_disruption,独库/山区道路天气扰动，含临时封闭风险。,1.705,0.9875,0.9928,1.0043,0.9459,1.0681,1.0175,1.0129,1.0192,1.0439,0.0703,0.0995,0.08,0.025,True,1.734,1.0503,0.25,0.0
200,hotel_full_price_surge,住宿紧张导致费用上浮。,1.0531,0.9732,0.9384,1.0486,1.0579,1.2774,1.0456,1.0259,1.0152,0.9969,0.1044,0.2733,0.015,0.015,False,0.223,1.324,0.08,0.0
201,base_summer,暑假普通日，使用基础时间。,0.9665,1.0401,1.0484,1.015,1.0186,1.0343,0.9441,1.0485,0.8954,1.0053,0.0559,0.0665,0.015,0.015,False,0.254,1.0142,0.0,0.0
202,duku_weather_disruption,独库/山区道路天气扰动，含临时封闭风险。,1.8051,0.9646,1.0889,0.9237,0.9703,0.9527,0.9992,1.0505,1.0225,1.0584,0.1066,0.0758,0.08,0.025,False,0.302,1.0157,0.25,0.0
203,duku_weather_disruption,独库/山区道路天气扰动，含临时封闭风险。,1.8317,1.0622,0.9924,0.9646,1.0249,1.0297,0.9962,1.0635,0.9922,0.9847,0.1121,0.0737,0.08,0.025,False,0.134,1.029,0.25,0.0
204,base_summer,暑假普通日，使用基础时间。,1.0132,0.9053,0.989,1.0503,0.9999,0.9793,0.9702,0.9599,1.0028,1.0439,0.0246,0.1157,0.015,0.015,False,0.092,1.0128,0.0,0.0
205,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.1575,1.1295,1.0519,0.9467,1.0788,1.0047,1.1981,1.2231,0.9962,1.0852,0.1521,0.1445,0.015,0.03,False,0.301,1.2465,0.03,0.04
206,base_summer,暑假普通日，使用基础时间。,1.0036,1.004,1.0144,1.0839,1.0227,0.9966,0.9751,1.0058,1.0342,0.9992,0.0494,0.0196,0.015,0.015,False,0.26,0.9973,0.0,0.0
207,base_summer,暑假普通日，使用基础时间。,1.0517,0.8929,1.0011,0.9883,1.0273,1.0324,1.0234,0.9668,0.9983,1.0182,0.0334,0.0643,0.015,0.015,False,0.117,1.0084,0.0,0.0
208,duku_weather_disruption,独库/山区道路天气扰动，含临时封闭风险。,1.7811,0.9758,0.9931,0.9432,1.0092,0.9741,1.0159,1.0306,0.9826,0.9701,0.0748,0.1258,0.08,0.025,False,0.277,1.042,0.25,0.0
209,hotel_full_price_surge,住宿紧张导致费用上浮。,1.0943,0.9924,0.9247,1.0137,0.9821,1.3078,0.9826,1.0149,0.9788,0.93,0.0941,0.245,0.015,0.015,False,0.022,1.322,0.08,0.0
210,base_summer,暑假普通日，使用基础时间。,0.959,1.0491,1.0261,1.0334,1.0389,0.9752,1.0162,0.9829,0.9618,1.0253,0.0407,0.01,0.015,0.015,False,0.081,1.0565,0.0,0.0
211,hotel_full_price_surge,住宿紧张导致费用上浮。,1.1405,1.008,1.0518,0.9894,0.9786,1.3115,0.9939,0.9681,0.9482,1.0253,0.1468,0.2836,0.015,0.015,False,0.208,1.3847,0.08,0.0
212,base_summer,暑假普通日，使用基础时间。,1.0501,0.9531,0.9734,0.9811,0.9119,0.9959,1.0331,1.0437,0.9879,1.0172,0.0898,0.0784,0.015,0.015,False,0.27,1.0604,0.0,0.0
213,base_summer,暑假普通日，使用基础时间。,1.023,1.0229,0.9829,1.0047,1.0952,0.998,1.0188,0.9588,1.0166,1.0331,0.0157,0.033,0.015,0.015,False,0.053,1.0416,0.0,0.0
214,base_summer,暑假普通日，使用基础时间。,1.0211,0.9856,1.0313,0.9513,0.9881,1.0151,1.0063,0.9725,0.973,0.9872,0.0299,0.043,0.015,0.015,False,0.281,1.0205,0.0,0.0
215,hotel_full_price_surge,住宿紧张导致费用上浮。,1.1085,1.0,0.9052,0.9511,1.0027,1.307,1.0102,1.0252,0.9701,1.0158,0.0711,0.2655,0.015,0.015,True,0.659,1.3235,0.08,0.0
216,duku_weather_disruption,独库/山区道路天气扰动，含临时封闭风险。,1.6524,0.9772,0.9598,1.0501,1.0338,0.9476,1.035,1.0342,1.0149,0.9986,0.1205,0.0625,0.08,0.025,True,2.063,1.0152,0.25,0.0
217,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.2085,1.0508,1.0301,0.985,1.0231,1.051,1.0799,1.2706,1.0122,1.0434,0.1705,0.0828,0.015,0.03,False,0.287,1.2167,0.03,0.04
218,base_summer,暑假普通日，使用基础时间。,0.978,0.9664,1.0744,0.9709,1.0142,0.9921,0.9916,0.9379,0.9916,1.0171,0.0733,0.01,0.015,0.015,False,0.031,1.0418,0.0,0.0
219,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.1025,1.0084,1.0269,0.9014,1.0201,1.0277,1.0616,1.2204,0.9743,0.9192,0.1805,0.1091,0.015,0.03,False,0.31,1.3149,0.03,0.04
220,base_summer,暑假普通日，使用基础时间。,1.0129,0.9737,1.0068,0.9753,1.0462,1.0262,1.0162,0.97,0.9356,1.0381,0.0303,0.0312,0.015,0.015,False,0.217,1.0551,0.0,0.0
221,base_summer,暑假普通日，使用基础时间。,1.068,0.9595,1.0601,0.9858,1.0481,0.99,1.0318,0.9967,1.0222,0.9532,0.0322,0.0873,0.015,0.015,True,1.844,1.0311,0.0,0.0
222,base_summer,暑假普通日，使用基础时间。,1.0649,1.0146,0.9817,1.0109,0.9723,0.9739,0.9976,1.042,0.9961,0.9771,0.0426,0.0259,0.015,0.015,False,0.313,1.0457,0.0,0.0
223,hotel_full_price_surge,住宿紧张导致费用上浮。,1.06,1.0389,0.9427,0.9937,1.1146,1.3421,1.0265,0.9908,1.0381,1.0829,0.1317,0.2791,0.015,0.015,False,0.143,1.2986,0.08,0.0
224,base_summer,暑假普通日，使用基础时间。,1.0373,0.9555,1.0417,1.0433,0.9256,0.9942,0.9799,0.9853,0.9683,0.9909,0.073,0.018,0.015,0.015,False,0.079,1.0225,0.0,0.0
225,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.1585,1.0299,1.0249,1.0283,0.9348,1.0158,1.1049,1.2527,0.9695,0.9596,0.1958,0.123,0.015,0.03,False,0.041,1.2641,0.03,0.04
226,base_summer,暑假普通日，使用基础时间。,1.0189,0.9939,0.9643,0.9511,0.9395,0.9746,1.0484,1.0418,1.0407,1.0373,0.0472,0.037,0.015,0.015,False,0.039,1.031,0.0,0.0
227,base_summer,暑假普通日，使用基础时间。,1.0358,0.9307,1.0565,1.0096,0.9907,1.0266,1.027,0.9628,1.0144,1.0794,0.0336,0.0441,0.015,0.015,False,0.201,1.0364,0.0,0.0
228,hotel_full_price_surge,住宿紧张导致费用上浮。,1.0578,0.9589,1.0114,0.9654,1.0223,1.3155,1.0521,1.045,1.0059,0.9823,0.1372,0.2529,0.015,0.015,False,0.227,1.4204,0.08,0.0
229,duku_weather_disruption,独库/山区道路天气扰动，含临时封闭风险。,1.8372,1.0015,1.0074,0.9525,1.0625,0.9655,1.0381,0.9905,0.9956,0.929,0.0802,0.1054,0.08,0.025,False,0.157,1.0182,0.25,0.0
230,base_summer,暑假普通日，使用基础时间。,0.9877,1.0215,0.9822,1.0423,0.952,1.0092,0.9606,1.0512,0.9976,1.0259,0.0625,0.0733,0.015,0.015,False,0.112,1.0167,0.0,0.0
231,hotel_full_price_surge,住宿紧张导致费用上浮。,0.9871,0.9473,0.9966,1.0099,1.0384,1.3038,1.0566,1.0734,1.0049,0.956,0.12,0.2594,0.015,0.015,False,0.118,1.2685,0.08,0.0
232,duku_weather_disruption,独库/山区道路天气扰动，含临时封闭风险。,1.8286,1.0914,1.052,1.0685,1.0672,1.0235,0.9978,1.0123,0.9664,0.9971,0.1106,0.0774,0.08,0.025,False,0.336,1.0548,0.25,0.0
233,base_summer,暑假普通日，使用基础时间。,0.9724,1.0511,1.0004,0.9259,1.0024,0.9605,1.059,1.0047,0.9497,1.0036,0.0889,0.0326,0.015,0.015,False,0.132,1.0225,0.0,0.0
234,base_summer,暑假普通日，使用基础时间。,0.9571,1.0104,0.9857,0.976,0.9594,0.9782,1.0305,1.0007,1.016,0.9961,0.036,0.0625,0.015,0.015,False,0.241,1.0829,0.0,0.0
235,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.131,1.1331,1.0097,0.9685,0.9642,1.0694,1.1088,1.2463,1.0415,0.9889,0.1645,0.1362,0.015,0.03,False,0.171,1.2839,0.03,0.04
236,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.2356,1.101,1.0929,1.0304,0.9702,1.0323,1.106,1.2027,0.959,1.0504,0.1441,0.1473,0.015,0.03,False,0.174,1.2485,0.03,0.04
237,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.1245,1.0252,1.0861,0.9971,1.164,1.0391,1.0685,1.2326,1.0412,1.0481,0.1442,0.0754,0.015,0.03,False,0.194,1.2714,0.03,0.04
238,hotel_full_price_surge,住宿紧张导致费用上浮。,1.1437,0.9837,0.976,1.0058,0.9637,1.2783,0.9886,1.0345,0.9909,0.964,0.1013,0.2471,0.015,0.015,True,1.372,1.3473,0.08,0.0
239,base_summer,暑假普通日，使用基础时间。,1.0277,0.995,0.9948,0.9731,0.9996,0.9904,0.9572,0.9562,0.974,1.0104,0.0264,0.0828,0.015,0.015,True,0.672,1.0447,0.0,0.0
240,base_summer,暑假普通日，使用基础时间。,1.0837,1.0416,0.9613,1.0191,1.0016,0.9825,1.015,0.9899,1.0528,1.0261,0.0746,0.0569,0.015,0.015,False,0.294,1.0346,0.0,0.0
241,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.2553,1.062,1.0508,0.9894,0.9799,1.0729,1.124,1.3076,1.0296,1.0758,0.1945,0.1541,0.015,0.03,True,0.601,1.2313,0.03,0.04
242,base_summer,暑假普通日，使用基础时间。,0.9242,1.0001,1.0402,0.9255,0.9955,1.0586,0.9738,0.9849,1.0434,1.0117,0.0799,0.0531,0.015,0.015,False,0.15,1.0123,0.0,0.0
243,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.1633,1.0178,1.0284,1.004,0.9667,1.0677,1.1543,1.1773,1.0242,1.0468,0.1815,0.1302,0.015,0.03,False,0.221,1.276,0.03,0.04
244,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.1249,1.0412,1.0838,0.9469,1.0005,1.0684,1.0861,1.2762,0.9889,0.9265,0.1299,0.1376,0.015,0.03,False,0.258,1.1974,0.03,0.04
